source,date,author,url,pick,team,player,position,school,conference,draft-id
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,7,tennessee-titans,Joe Alt,OT,Notre Dame,FBS Independent,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,8,new-england-patriots,J.J. McCarthy,QB,Michigan,Big Ten,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,9,chicago-bears,Dallas Turner,EDGE,Alabama,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,10,new-york-jets,Olumuyiwa Fashanu,OT,Penn St.,Big Ten,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,11,minnesota-vikings,Terrion Arnold,CB,Alabama,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,12,denver-broncos,Jared Verse,EDGE,Florida St.,ACC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,13,las-vegas-raiders,J.C. Latham,OT,Alabama,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,14,new-orleans-saints,Taliese Fuaga,OT,Oregon St.,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,15,indianapolis-colts,Brock Bowers,TE,Georgia,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,16,seattle-seahawks,Laiatu Latu,EDGE,UCLA,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,17,jacksonville-jaguars,Byron Murphy,DL,Texas,Big 12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,18,cincinnati-bengals,Amarius Mims,OT,Georgia,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,19,los-angeles-rams,Jackson Powers-Johnson,IOL,Oregon,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,20,pittsburgh-steelers,Nate Wiggins,CB,Clemson,ACC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,21,miami-dolphins,Quinyon Mitchell,CB,Toledo,MAC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,22,philadelphia-eagles,Brian Thomas Jr.,WR,LSU,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,23,houston-texans,Cooper DeJean,CB,Iowa,Big Ten,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,24,dallas-cowboys,Tyler Guyton,OT,Oklahoma,Big 12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,25,green-bay-packers,Troy Fautanu,OT,Washington,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,26,tampa-bay-buccaneers,Ennis Rakestraw Jr.,CB,Missouri,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,27,arizona-cardinals,Graham Barton,IOL,Duke,ACC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,28,buffalo-bills,Jer'Zhan Newton,DL,Illinois,Big Ten,CBS-1-Garrett Podell
